# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
VVV                  D19-11                    12:11:33.92  -63:30:08.0  182.891353  -63.502232  298.501861   -0.973961  F        4.3719874  0          0          0          GIK    OGLE-GD-CEP-1696  -                 -                 GD1315.28.29175   -              -                    6054194803971123712  17.925
OGLE-IV              OGLE-GD-CEP-1697          12:11:48.86  -62:13:39.0  182.953569  -62.227497  298.334110    0.290007  1O2O     0          0.9349199  0.7496557  0          GI     OGLE-GD-CEP-1697  -                 -                 GD1314.30.22071   -              -                    6057507151451710464  15.930
OGLE-IV              OGLE-GD-CEP-1698          12:11:53.29  -62:17:16.8  182.972041  -62.288002  298.351863    0.231529  F        5.5528829  0          0          0          GI     OGLE-GD-CEP-1698  -                 -                 GD1314.30.22288   -              -                    6057503092665674368  17.580
OGLE-IV              OGLE-GD-CEP-0760          12:11:55.12  -61:41:05.8  182.979656  -61.684939  298.263263    0.828060  F        3.0635661  0          0          0          GI     OGLE-GD-CEP-0760  -                 -                 GD1313.14.23906   -              -                    6057773645539230848  17.770
OGLE-IV              OGLE-GD-CEP-0761          12:12:05.55  -63:37:24.5  183.023136  -63.623471  298.578412   -1.084790  F        4.0911545  0          0          0          GI     OGLE-GD-CEP-0761  -                 -                 GD1315.28.1613    -              -                    6054178753620747392  17.769
OGLE-IV              OGLE-GD-CEP-0762          12:12:42.90  -62:44:45.4  183.178762  -62.745942  298.515424   -0.206714  F        5.5192275  0          0          0          GI     OGLE-GD-CEP-0762  -                 -                 GD1314.21.226     -              -                    6054469750583099136  15.610
GCVS                 S_____Mus                 12:12:46.99  -70:09:06.5  183.195810  -70.151795  299.636148   -7.527788  F        9.6601753  0          0          0          GBV    -                 -                 -                 -                 -              -                    5855852527008107008   5.881
GCVS                 AD____Cru                 12:12:59.66  -62:05:48.6  183.248564  -62.096823  298.450578    0.439966  F        6.3972335  0          0          0          GV     -                 -                 -                 -                 121259-6205.8  312133               6057514092119497472  10.570
OGLE-IV              OGLE-GD-CEP-0763          12:13:11.59  -63:10:37.1  183.298289  -63.176974  298.633273   -0.624869  F        6.1051549  0          0          0          GI     OGLE-GD-CEP-0763  -                 -                 GD1314.04.22691   -              -                    6054395464822934784  16.336
OGLE-IV              OGLE-GD-CEP-1699          12:13:23.84  -65:24:48.9  183.349348  -65.413570  298.985284   -2.833730  1O2O     0          0.8239291  0.6641383  0          GI     OGLE-GD-CEP-1699  -                 -                 GD1316.09.24281   -              -                    6052985959660901760  15.885
OGLE-IV              OGLE-GD-CEP-0764          12:13:31.83  -64:09:13.5  183.382644  -64.153752  298.814114   -1.585496  F        7.7309584  0          0          0          GI     OGLE-GD-CEP-0764  -                 -                 GD1315.10.20607   -              -                    6053345671753350016  15.484
OGLE-IV              OGLE-GD-CEP-1700          12:13:33.38  -64:38:43.6  183.389074  -64.645435  298.888962   -2.071462  1O2O     0          1.6191483  1.2991193  0          GVI    OGLE-GD-CEP-1700  -                 -                 GD1315.02.6       -              AP53700854           6053270419577278720  12.473
OGLE-IV              OGLE-GD-CEP-1701          12:13:38.72  -65:44:07.7  183.411323  -65.735463  299.057978   -3.148375  1O2O     0          1.7661297  1.3957283  0          GI     OGLE-GD-CEP-1701  -                 -                 GD1316.01.24403   -              -                    5860810018836682240  17.735
Gaia-DR3             6054133536200367104       12:14:19.49  -63:39:49.0  183.581208  -63.663611  298.829424   -1.087872  1O       0          5.2591511  0          0          GI     OGLE-GD-CEP-1851  -                 -                 GD1315.27.19      -              -                    6054133536200367104  11.892
OGLE-IV              OGLE-GD-CEP-0766          12:16:05.47  -63:24:23.0  184.022785  -63.406396  298.988253   -0.805621  1O       0          2.6367443  0          0          GI     OGLE-GD-CEP-0766  -                 -                 GD1308.25.331     -              -                    6054163536605989888  16.985
OGLE-IV              OGLE-GD-CEP-0767          12:16:39.51  -64:11:48.7  184.164636  -64.196873  299.157572   -1.580294  1O       0          1.8288981  0          0          GI     OGLE-GD-CEP-0767  -                 -                 GD1315.08.26934   -              -                    6053318012162186880  16.676
OGLE-IV              OGLE-GD-CEP-1702          12:17:10.61  -63:41:35.8  184.294221  -63.693270  299.146705   -1.073602  1O2O     0          0.9186271  0.7391193  0          GI     OGLE-GD-CEP-1702  -                 -                 GD1308.15.604     -              -                    6053391778170932480  17.050
OGLE-IV              OGLE-GD-CEP-0768          12:17:11.01  -62:19:35.8  184.295870  -62.326619  298.966295    0.281091  1O       0          3.6441771  0          0          GI     OGLE-GD-CEP-0768  -                 -                 GD1307.16.22409   -              -                    6054505995768502016  18.017
Gaia-DR3             6054453287931249280       12:17:19.38  -62:30:18.2  184.330748  -62.505068  299.005906    0.106345  1O       0          3.9462463  0          0          G      -                 -                 -                 -                 -              -                    6054453287931249280  12.337
GCVS                 UX____Mus                 12:17:33.62  -65:45:14.4  184.390090  -65.753992  299.459332   -3.110917  F        7.1420594  0          0          0          GVI    OGLE-GD-CEP-0769  -                 -                 GD1310.22.24579   -              347915               5860785795219397376  13.850
GCVS                 SU____Cru                 12:18:16.85  -63:16:48.4  184.570226  -63.280103  299.214974   -0.647894  F       12.8491103  0          0          0          GV     -                 -                 -                 -                 121817-6316.8  -                    6054171095749135360   9.849
OGLE-IV              OGLE-GD-CEP-0770          12:18:21.36  -63:25:29.8  184.589001  -63.424936  299.241891   -0.790453  F        3.9848897  0          0          0          GI     OGLE-GD-CEP-0770  -                 -                 GD1308.24.31      -              -                    6054154603073275648  14.062
OGLE-IV              OGLE-GD-CEP-0771          12:18:29.15  -61:51:57.9  184.621458  -61.866075  299.057491    0.757536  F        5.3319744  0          0          0          GI     OGLE-GD-CEP-0771  -                 -                 GD1313.09.160     -              -                    6057533471013141760  16.036
OGLE-IV              OGLE-GD-CEP-1703          12:18:48.02  -63:31:44.7  184.700063  -63.529083  299.304336   -0.887446  F1O      3.9937807  2.8303570  0          0          GI     OGLE-GD-CEP-1703  -                 -                 GD1308.14.22262   -              -                    6054149307321532416  16.406
OGLE-IV              OGLE-GD-CEP-0772          12:18:49.17  -63:10:03.0  184.704855  -63.167506  299.260802   -0.528493  F       12.9277837  0          0          0          GI     OGLE-GD-CEP-0772  -                 -                 GD1308.23.24668   -              -                    6054174119406221440  13.845
OGLE-IV              OGLE-GD-CEP-0773          12:18:59.59  -64:10:12.4  184.748276  -64.170104  299.406189   -1.520684  1O       0          1.7041112  0          0          GI     OGLE-GD-CEP-0773  -                 -                 GD1309.30.22744   -              -                    6053310276871848704  17.981
OGLE-IV              OGLE-GD-CEP-0774          12:19:18.39  -64:11:25.7  184.826624  -64.190480  299.442605   -1.536634  F       10.2991895  0          0          0          GI     OGLE-GD-CEP-0774  -                 -                 GD1309.30.22113   -              -                    6053310693537078656  15.611
OGLE-IV              OGLE-GD-CEP-0775          12:19:37.66  -62:40:22.2  184.906900  -62.672830  299.290381   -0.026209  F       42.5137714  0          0          0          GI     OGLE-GD-CEP-0775  -                 -                 GD1307.07.28391   -              -                    6054808258387455232  15.228
OGLE-IV              OGLE-GD-CEP-1704          12:20:00.20  -64:19:01.9  185.000821  -64.317203  299.533330   -1.653081  F1O2O    1.0814242  0.7937952  0.6403295  0          GI     OGLE-GD-CEP-1704  -                 -                 GD1309.29.787     -              -                    6053117420033458944  18.347
OGLE-IV              OGLE-GD-CEP-0776          12:20:20.65  -63:43:47.9  185.086057  -63.729960  299.499284   -1.065638  F        6.8228109  0          0          0          GI     OGLE-GD-CEP-0776  -                 -                 GD1308.13.732     -              -                    6053754135970112256  17.858
Gaia-DR3             6053047704117413248       12:20:24.48  -64:39:42.9  185.101994  -64.661904  299.618325   -1.989979  1O       0          2.2681719  0          0          G      -                 -                 -                 -                 -              -                    6053047704117413248  11.566
OGLE-IV              OGLE-GD-CEP-0777          12:20:37.32  -61:58:15.5  185.155512  -61.970982  299.319931    0.684460  1O       0          4.1426571  0          0          GI     OGLE-GD-CEP-0777  -                 -                 GD1307.23.16841   -              -                    6054898834987111936  16.807
Gaia-DR3             6053688062193025280       12:21:02.47  -63:59:31.7  185.260292  -63.992139  299.606733   -1.316813  1O       0          0.4578775  0          0          GI     OGLE-GD-CEP-1852  -                 -                 GD1308.05.838     -              -                    6053688062193025280  17.466
OGLE-IV              OGLE-GD-CEP-0778          12:21:06.84  -64:00:03.3  185.278483  -64.000914  299.615690   -1.324589  F        3.9803060  0          0          0          GI     OGLE-GD-CEP-0778  -                 -                 GD1308.05.87      -              -                    6053688375762809728  15.592
OGLE-IV              OGLE-GD-CEP-0779          12:21:21.07  -63:11:06.8  185.337787  -63.185232  299.546461   -0.511421  1O       0          4.9840546  0          0          GVI    OGLE-GD-CEP-0779  -                 -                 GD1308.21.22456   -              363885               6054534484323979392  13.525
GCVS                 T_____Cru                 12:21:21.10  -62:16:53.9  185.337929  -62.281635  299.441254    0.386030  F        6.7333343  0          0          0          GBV    -                 -                 -                 -                 -              -                    6054829806275577216   6.352
OGLE-IV              OGLE-GD-CEP-1705          12:22:34.06  -63:19:29.5  185.641930  -63.324871  299.698385   -0.634521  F        5.4633315  0          0          0          GI     OGLE-GD-CEP-1705  -                 -                 GD1308.21.1208    -              -                    6053783582268520704  18.225
GCVS                 FQ____Cru                 12:22:40.12  -62:09:35.7  185.667156  -62.159913  299.579828    0.524446  F       13.7762812  0          0          0          GV     -                 -                 -                 -                 122240-6209.5  364666               6054836506424835840  11.345
OGLE-IV              OGLE-GD-CEP-0780          12:22:50.12  -64:26:32.4  185.708843  -64.442342  299.852095   -1.741767  F        2.3063294  0          0          0          GI     OGLE-GD-CEP-0780  -                 -                 GD1309.19.36601   -              -                    6053426966900274688  16.809
OGLE-IV              OGLE-GD-CEP-0781          12:22:54.15  -62:09:39.7  185.725644  -62.161031  299.607098    0.526366  F        7.9829970  0          0          0          GI     OGLE-GD-CEP-0781  -                 -                 GD1307.21.1587    -              -                    6054837949542697216  18.676
GCVS                 VV____Cru                 12:23:31.78  -64:28:15.2  185.882401  -64.470889  299.929644   -1.761948  F        6.1210726  0          0          0          GV     -                 -                 -                 -                 122332-6428.2  345446               6053428684887800320  11.385
OGLE-IV              OGLE-GD-CEP-0782          12:23:34.32  -64:43:46.2  185.892986  -64.729499  299.962128   -2.018552  F        4.0500406  0          0          0          GVI    OGLE-GD-CEP-0782  -                 -                 GD1309.10.32324   -              342621               6053404048952606592  14.382
GCVS                 R_____Cru                 12:23:37.67  -61:37:44.9  185.906947  -61.629129  299.633949    1.064412  F        5.8257981  0          0          0          GBV    -                 -                 -                 -                 -              -                    6054935874795049216   6.585
OGLE-IV              OGLE-GD-CEP-0783          12:23:50.64  -61:36:57.5  185.961008  -61.615966  299.658086    1.080257  1O2O     0          1.2173560  0.9754648  0          GI     OGLE-GD-CEP-0783  -                 -                 GD1307.28.34826   -              -                    6054935904829820800  16.523
OGLE-IV              OGLE-GD-CEP-0784          12:24:27.54  -63:25:40.0  186.114748  -63.427764  299.920171   -0.713888  F        3.6087290  0          0          0          GI     OGLE-GD-CEP-0784  -                 -                 GD1308.19.441     -              -                    6053765410301929600  16.626
OGLE-IV              OGLE-GD-CEP-0785          12:24:47.13  -63:24:32.8  186.196363  -63.409115  299.954558   -0.691546  F        4.8269496  0          0          0          GI     OGLE-GD-CEP-0785  -                 -                 GD1308.19.490     -              -                    6053765479021456128  16.670
OGLE-IV              OGLE-GD-CEP-0786          12:25:00.69  -63:47:09.3  186.252859  -63.785926  300.018307   -1.063775  1O       0          1.6338355  0          0          GI     OGLE-GD-CEP-0786  -                 -                 GD1308.02.21067   -              -                    6053695174664431744  17.756
ASAS                 J122511-6120.9            12:25:11.29  -61:20:53.4  186.297046  -61.348171  299.789737    1.363327  1O       0          2.3056485  0          0          GV     -                 -                 -                 -                 122511-6120.9  -                    6057943520139661184   9.843
OGLE-IV              OGLE-GD-CEP-0787          12:26:50.41  -62:19:45.4  186.710023  -62.329279  300.080408    0.406205  F        6.8376378  0          0          0          GI     OGLE-GD-CEP-0787  -                 -                 GD1307.09.23580   -              -                    6054646737595779840  16.016
OGLE-IV              OGLE-GD-CEP-0788          12:27:57.34  -61:37:37.4  186.988918  -61.627062  300.145429    1.117575  F       28.2665937  0          0          0          GI     OGLE-GD-CEP-0788  -                 -                 GD1301.16.22520   -              -                    6054877428876188672  13.858
OGLE-IV              OGLE-GD-CEP-0789          12:27:57.47  -63:01:38.7  186.989443  -63.027424  300.273153   -0.276951  1O       0          3.0879649  0          0          GI     OGLE-GD-CEP-0789  -                 -                 GD1302.15.92      -              -                    6053803034218464384  15.355
OGLE-IV              OGLE-GD-CEP-0790          12:27:58.38  -63:37:26.4  186.993259  -63.623992  300.329148   -0.870888  1O2O     0          1.0932583  0.8783499  0          GI     OGLE-GD-CEP-0790  -                 -                 GD1303.32.1142    -              -                    6053538666055899648  17.642
OGLE-IV              OGLE-GD-CEP-0791          12:28:15.56  -65:02:59.1  187.064830  -65.049757  300.489035   -2.288006  F        4.7279485  0          0          0          GVI    OGLE-GD-CEP-0791  -                 -                 GD1304.23.31304   -              340355               5861196531541297664  14.505
OGLE-IV              OGLE-GD-CEP-1706          12:28:25.30  -59:54:53.4  187.105426  -59.914837  300.047606    2.827953  1O2O3O   0          0.2680200  0.2148091  0.1796474  GI     OGLE-GD-CEP-1706  -                 -                 GD1305.09.111     -              -                    6058352813329178112  15.180
OGLE-IV              OGLE-GD-CEP-0792          12:28:40.86  -64:42:31.4  187.170249  -64.708725  300.503233   -1.944342  F        4.7889964  0          0          0          GI     OGLE-GD-CEP-0792  -                 -                 GD1304.30.29237   -              -                    5861263052003079040  16.583
OGLE-IV              OGLE-GD-CEP-0793          12:29:08.03  -60:11:15.2  187.283462  -60.187558  300.160253    2.564106  1O       0          4.2864910  0          0          GI     OGLE-GD-CEP-0793  -                 -                 GD1300.25.17782   -              -                    6058336561172023808  14.810
VVV                  D19-16                    12:29:46.27  -62:35:01.3  187.442806  -62.583696  300.440716    0.183205  F        5.3824133  0          0          0          GIK    OGLE-GD-CEP-1707  -                 -                 GD1302.23.21047   -              -                    6054669140122631680  20.131
OGLE-IV              OGLE-GD-CEP-0794          12:29:53.02  -68:16:43.4  187.470932  -68.278713  300.931015   -5.490742  F        2.9822179  0          0          0          GVI    OGLE-GD-CEP-0794  -                 -                 GD2014.03.88      -              278839               5856662557855409280  14.486
OGLE-IV              OGLE-GD-CEP-0795          12:29:55.08  -63:39:58.1  187.479487  -63.666149  300.547879   -0.894058  F        4.3656858  0          0          0          GI     OGLE-GD-CEP-0795  -                 -                 GD1303.30.263     -              -                    6053523827011991168  17.595
OGLE-IV              OGLE-GD-CEP-0796          12:29:56.72  -62:26:48.5  187.486338  -62.446803  300.449281    0.321299  1O       0          5.0226558  0          0          GVI    OGLE-GD-CEP-0796  -                 -                 GD1302.31.7       -              363032               6054673950486186496  12.255
OGLE-IV              OGLE-GD-CEP-0797          12:30:25.55  -65:48:57.4  187.606466  -65.815937  300.779416   -3.032043  1O       0          0.9953755  0          0          GI     OGLE-GD-CEP-0797  -                 -                 GD1304.04.489     -              -                    5860917083768980992  16.801
GCVS                 BG____Cru                 12:31:40.30  -59:25:26.2  187.917931  -59.423941  300.416251    3.351226  1O       0          3.3426540  0          0          GBV    -                 -                 -                 -                 -              -                    6058439910929477120   5.272
OGLE-IV              OGLE-GD-CEP-0798          12:32:12.45  -64:11:58.3  188.051856  -64.199537  300.840819   -1.405894  1O       0          3.8089729  0          0          GI     OGLE-GD-CEP-0798  -                 -                 GD1303.12.42450   -              -                    5861385780599391872  15.144
GCVS                 VW____Cru                 12:33:18.66  -63:30:22.9  188.327747  -63.506370  300.911857   -0.705741  F        5.2651814  0          0          0          GV     -                 -                 -                 -                 123319-6330.4  -                    6053622679932061056   9.076
OGLE-IV              OGLE-GD-CEP-0799          12:33:19.11  -64:06:31.0  188.329615  -64.108620  300.955034   -1.306442  F        3.1864490  0          0          0          GI     OGLE-GD-CEP-0799  -                 -                 GD1303.11.43354   -              -                    5861392377669480320  15.507
OGLE-IV              OGLE-GD-CEP-0800          12:33:27.26  -61:44:00.1  188.363599  -61.733354  300.804109    1.064075  F       20.0154160  0          0          0          GI     OGLE-GD-CEP-0800  -                 -                 GD1301.12.12483   -              -                    6054778983886526720  15.402
OGLE-IV              OGLE-GD-CEP-0801          12:33:30.39  -63:39:02.0  188.376617  -63.650564  300.943639   -0.848061  1O       0          2.5422778  0          0          GI     OGLE-GD-CEP-0801  -                 -                 GD1303.28.15      -              -                    6053572995748594304  14.895
OGLE-IV              OGLE-GD-CEP-0802          12:33:57.98  -64:11:09.8  188.491582  -64.186046  301.030860   -1.378806  F       10.1985610  0          0          0          GI     OGLE-GD-CEP-0802  -                 -                 GD1303.10.39467   -              -                    5861379084817003520  14.458
OGLE-IV              OGLE-GD-CEP-0803          12:34:07.93  -62:20:20.2  188.533060  -62.338947  300.924854    0.465343  F        6.6522819  0          0          0          GI     OGLE-GD-CEP-0803  -                 -                 GD1302.28.14932   -              -                    6053951124662467584  18.543
GCVS                 VX____Cru                 12:34:23.34  -61:14:15.4  188.597246  -61.237623  300.881714    1.566240  F       12.2134406  0          0          0          GV     -                 -                 -                 -                 123423-6114.2  364620               6054992602724692608  11.257
OGLE-IV              OGLE-GD-CEP-0804          12:34:42.21  -63:24:59.8  188.675856  -63.416601  301.060975   -0.605659  1O       0          4.1094609  0          0          GI     OGLE-GD-CEP-0804  -                 -                 GD1302.03.132     -              -                    6053624741516572672  16.613
Gaia-DR3             5861096716483372032       12:35:03.40  -64:57:51.3  188.764167  -64.964250  301.198842   -2.147639  1O       0          1.3179958  0          0          GI     OGLE-GD-CEP-1853  -                 -                 GD1304.26.359     -              -                    5861096716483372032  16.432
Gaia-DR3             5861322837920614784       12:35:07.75  -64:27:46.6  188.782304  -64.462956  301.174754   -1.646863  1O       0          0.6534110  0          0          G      -                 -                 -                 -                 -              -                    5861322837920614784  13.996
OGLE-IV              OGLE-GD-CEP-0805          12:36:09.27  -62:20:30.5  189.038625  -62.341814  301.159265    0.477320  1O       0          4.2158721  0          0          GI     OGLE-GD-CEP-0805  -                 -                 GD1302.26.19587   -              -                    6053942981414181504  15.846
ASAS                 J123617-6317.6            12:36:17.26  -63:17:36.6  189.071902  -63.293495  301.230637   -0.471802  1O       0          6.1657797  0          0          GV     -                 -                 -                 -                 123617-6317.6  358928               6053649721047932032  10.896
Gaia-DR3             6059594093241906688       12:36:52.76  -60:19:55.8  189.219831  -60.332167  301.129614    2.488626  1O       0          0.3932362  0          0          G      -                 -                 -                 -                 -              -                    6059594093241906688  15.815
OGLE-IV              OGLE-GD-CEP-0807          12:36:54.81  -63:50:34.1  189.228375  -63.842799  301.331812   -1.016184  F        7.2320344  0          0          0          GI     OGLE-GD-CEP-0807  -                 -                 GD1303.17.27582   -              -                    5861420690096712064  -     
GCVS                 V1253_Cen                 12:38:03.81  -38:31:24.6  189.515889  -38.523502  300.062788   24.273729  F        4.3209291  0          0          0          GV     -                 -                 -                 -                 123804-3831.4  96730                6153387928308811264  12.069
OGLE-IV              OGLE-GD-CEP-0808          12:38:06.85  -66:22:59.1  189.528561  -66.383078  301.595561   -3.545906  F        2.0655177  0          0          0          GI     OGLE-GD-CEP-0808  -                 -                 GD1298.06.397     -              -                    5859972946880769408  15.046
OGLE-IV              OGLE-GD-CEP-0809          12:38:09.22  -63:43:57.1  189.538415  -63.732529  301.462624   -0.898684  F        8.2482139  0          0          0          GI     OGLE-GD-CEP-0809  -                 -                 GD1296.15.32      -              -                    5861427532039514624  15.347
OGLE-IV              OGLE-GD-CEP-0810          12:38:31.03  -63:58:44.2  189.629287  -63.978931  301.515154   -1.142731  F       10.9295925  0          0          0          GI     OGLE-GD-CEP-0810  -                 -                 GD1296.07.140     -              -                    5861408634182390528  16.622
OGLE-IV              OGLE-GD-CEP-0811          12:38:31.41  -63:34:25.4  189.630860  -63.573732  301.495527   -0.738006  F       10.3727597  0          0          0          GI     OGLE-GD-CEP-0811  -                 -                 GD1296.15.19258   -              -                    5861432548561497088  15.720
OGLE-IV              OGLE-GD-CEP-1708          12:38:54.23  -65:03:17.4  189.725952  -65.054833  301.609906   -2.215262  1O       0          2.7645955  0          0          GI     OGLE-GD-CEP-1708  -                 -                 GD1297.06.24663   -              -                    5861055725311709312  15.140
OGLE-IV              OGLE-GD-CEP-0812          12:39:05.98  -66:05:44.6  189.774931  -66.095726  301.680518   -3.253960  1O       0          7.3618540  0          0          GI     OGLE-GD-CEP-0812  -                 -                 GD1298.14.21      -              -                    5860015484240838656  11.853
ASASSN-V             J123907.25-581704.4       12:39:07.23  -58:17:04.4  189.780140  -58.284565  301.308559    4.548355  1O       0          4.2541869  0          0          GVI    OGLE-GD-CEP-1360  -                 -                 GD2233.25.12989   -              476693               6060761362259462528  12.832
OGLE-IV              OGLE-GD-CEP-0813          12:39:33.68  -62:06:28.8  189.890327  -62.108013  301.543304    0.731710  F        9.0765295  0          0          0          GI     OGLE-GD-CEP-0813  -                 -                 GD1295.24.12      -              -                    6055448178465709312  13.416
OGLE-IV              OGLE-GD-CEP-0814          12:40:05.74  -63:23:40.1  190.023902  -63.394483  301.662376   -0.550696  F        6.7372248  0          0          0          GI     OGLE-GD-CEP-0814  -                 -                 GD1296.23.186     -              -                    6055090081271318144  16.727
OGLE-IV              OGLE-GD-CEP-0815          12:40:51.23  -64:34:43.4  190.213448  -64.578723  301.795868   -1.730323  F        3.1799989  0          0          0          GI     OGLE-GD-CEP-0815  -                 -                 GD1297.22.279     -              -                    5861130560829195392  16.251
OGLE-IV              OGLE-GD-CEP-0816          12:40:55.08  -62:56:06.8  190.229494  -62.935222  301.735615   -0.087911  F       10.7922156  0          0          0          GI     OGLE-GD-CEP-0816  -                 -                 GD1296.30.13389   -              -                    6055162408523760640  18.794
GCVS                 AG____Cru                 12:41:26.02  -59:47:39.1  190.358418  -59.794186  301.672127    3.053090  F        3.8372760  0          0          0          GV     -                 -                 -                 -                 124126-5947.6  -                    6059635702888301952   8.119
Gaia-DR3             5862632592438307584       12:41:53.12  -64:28:52.4  190.471333  -64.481222  301.902915   -1.628561  1O       0          2.4121190  0          0          GI     OGLE-GD-CEP-1854  -                 -                 GD1297.21.32358   -              -                    5862632592438307584  16.477
GCVS                 R_____Mus                 12:42:05.01  -69:24:27.2  190.520887  -69.407564  302.104191   -6.550850  F        7.5102427  0          0          0          GBV    -                 -                 -                 -                 -              -                    5855468247702904704   6.231
OGLE-IV              OGLE-GD-CEP-0817          12:42:15.43  -66:03:05.3  190.564281  -66.051470  301.999019   -3.196352  1O       0          0.7188764  0          0          GI     OGLE-GD-CEP-0817  -                 -                 GD1298.12.27393   -              -                    5860007272262916224  16.299
OGLE-IV              OGLE-GD-CEP-0818          12:42:20.84  -63:13:27.7  190.586819  -63.224357  301.908283   -0.370677  F        7.6398800  0          0          0          GI     OGLE-GD-CEP-0818  -                 -                 GD1296.21.16241   -              -                    6055098598174744448  18.864
OGLE-IV              OGLE-GD-CEP-0819          12:42:25.27  -65:02:35.4  190.605272  -65.043171  301.980298   -2.188083  1O       0          1.8479296  0          0          GI     OGLE-GD-CEP-0819  -                 -                 GD1297.04.27335   -              -                    5860307542015994112  16.848
OGLE-IV              OGLE-GD-CEP-0820          12:42:31.02  -62:51:32.2  190.629237  -62.858946  301.914725   -0.004817  F        7.4570227  0          0          0          GI     OGLE-GD-CEP-0820  -                 -                 GD1296.29.23371   -              -                    6055122276329205504  19.085
OGLE-IV              OGLE-GD-CEP-1709          12:43:05.99  -63:05:02.0  190.774938  -63.083893  301.988437   -0.227419  F1O      4.1377603  2.8905901  0          0          GI     OGLE-GD-CEP-1709  -                 -                 GD1296.29.49      -              -                    6055100659757768448  14.411
OGLE-IV              OGLE-GD-CEP-0821          12:43:46.34  -64:23:27.6  190.943102  -64.391009  302.103439   -1.531591  F        3.3687921  0          0          0          GI     OGLE-GD-CEP-0821  -                 -                 GD1297.20.33869   -              -                    5862634142964452352  15.843
OGLE-IV              OGLE-GD-CEP-0822          12:43:49.07  -65:52:07.5  190.954446  -65.868751  302.152133   -3.008540  1O2O     0          1.0399012  0.8348106  0          GI     OGLE-GD-CEP-0822  -                 -                 GD1298.20.246     -              -                    5860021737714232576  15.667
ASAS                 J124421-6300.8            12:44:21.49  -63:00:44.6  191.089539  -63.012378  302.128823   -0.151669  F       12.6682808  0          0          0          GVI    OGLE-GD-CEP-0823  -                 -                 GD1296.28.18      124421-6300.8  351726               6055125982885000576  12.925
OGLE-IV              OGLE-GD-CEP-0824          12:44:37.23  -65:55:18.3  191.155131  -65.921748  302.235667   -3.059215  1O       0          1.4660687  0          0          GI     OGLE-GD-CEP-0824  -                 -                 GD1298.10.23048   -              -                    5861509926705762432  15.473
Gaia-DR3             5862967363690366080       12:45:06.91  -63:07:47.0  191.278804  -63.129716  302.217563   -0.266737  1O       0          0.2794010  0          0          G      -                 -                 -                 -                 -              -                    5862967363690366080  16.974
OGLE-IV              OGLE-GD-CEP-0825          12:45:19.52  -64:17:21.6  191.331334  -64.289347  302.268828   -1.425468  F        2.9875944  0          0          0          GI     OGLE-GD-CEP-0825  -                 -                 GD1297.27.1005    -              -                    5862595277754304512  17.476
OGLE-IV              OGLE-GD-CEP-0826          12:45:33.02  -62:52:41.0  191.387603  -62.878061  302.260971   -0.013982  F       29.1428194  0          0          0          GI     OGLE-GD-CEP-0826  -                 -                 GD1296.27.20119   -              -                    6055128495460861056  18.350
OGLE-IV              OGLE-GD-CEP-0827          12:46:03.85  -63:54:08.3  191.516058  -63.902297  302.340892   -1.036714  F        7.6480819  0          0          0          GI     OGLE-GD-CEP-0827  -                 -                 GD1296.02.19342   -              -                    5862685437706123904  17.601
OGLE-IV              OGLE-GD-CEP-0828          12:46:20.60  -62:33:09.1  191.585832  -62.552514  302.344880    0.313428  F       17.0415612  0          0          0          GI     OGLE-GD-CEP-0828  -                 -                 GD1295.02.9089    -              -                    6055155880172571008  17.565
GCVS                 X_____Cru                 12:46:22.27  -59:07:29.0  191.592779  -59.124727  302.280537    3.740614  F        6.2201526  0          0          0          GV     -                 -                 -                 -                 124622-5907.5  -                    6059764002146656128   8.172
VVV                  D19-26                    12:46:24.57  -63:33:05.8  191.602393  -63.551612  302.372020   -0.685329  F        5.6878726  0          0          0          GIK    OGLE-GD-CEP-1710  -                 -                 GD1296.09.23755   -              -                    5862884036995590144  20.393
OGLE-IV              OGLE-GD-CEP-0829          12:46:30.84  -63:54:55.5  191.628512  -63.915408  302.390609   -1.048834  F        3.7213137  0          0          0          GI     OGLE-GD-CEP-0829  -                 -                 GD1296.01.1530    -              -                    5862684853590560128  18.865
OGLE-IV              OGLE-GD-CEP-0830          12:47:24.31  -64:06:25.1  191.851300  -64.106979  302.491571   -1.238678  F        7.0927913  0          0          0          GI     OGLE-GD-CEP-0830  -                 -                 GD1291.16.23782   -              -                    5862620158549694976  15.754
OGLE-IV              OGLE-GD-CEP-0831          12:47:29.90  -65:51:02.1  191.874590  -65.850593  302.528455   -2.981930  1O       0          1.1938817  0          0          GI     OGLE-GD-CEP-0831  -                 -                 GD1298.17.165     -              -                    5861467423704101888  16.202
