# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
ZTF-DR2              J004134.90+640806.0       00:41:34.90  +64:08:06.1   10.395421   64.135021  121.856967    1.283845  1O       0          2.7455888  0          0          Gr     -                 -                 -                 -                 -              -                    523965158056935808   13.662
ZTF-DR2              J004202.12+662441.2       00:42:02.13  +66:24:41.1   10.508868   66.411426  121.989690    3.556880  F        2.1466501  0          0          0          Gr     -                 -                 -                 -                 -              -                    527680373482282752   16.257
ZTF-DR2              J004234.08+635022.9       00:42:34.08  +63:50:22.9   10.642004   63.839699  121.954321    0.984787  F        1.9707798  0          0          0          Gr     -                 -                 -                 -                 -              -                    523951208003511936   15.903
Gaia-DR3             427628113892595968        00:43:25.98  +62:08:48.1   10.858240   62.146698  121.996998   -0.710519  F        2.8417443  0          0          0          G      -                 -                 -                 -                 -              -                    427628113892595968   16.249
Gaia-DR3             427568289285531904        00:44:33.07  +61:27:45.2   11.137792   61.462542  122.109262   -1.398207  1O       0          0.8972617  0          0          G      -                 -                 -                 -                 -              -                    427568289285531904   16.261
NSVS                 1588852                   00:45:12.33  +58:30:04.1   11.301373   58.501129  122.115546   -4.360741  F        6.8992891  0          0          0          GVc    -                 -                 -                 -                 -              203915               425146374407314560   12.129
ASASSN-V             J004625.02+643917.4       00:46:24.90  +64:39:17.2   11.603766   64.654789  122.394157    1.788284  1O       0          2.3362812  0          0          GVr    -                 -                 -                 -                 -              AP4536118            524459491611960704   13.940
GCVS                 OP____Cas                 00:46:29.89  +63:32:35.8   11.624541   63.543273  122.381723    0.676801  F        5.5132417  0          0          0          GV     -                 -                 -                 -                 -              205469               523887951723531648   11.200
ASASSN-V             J004816.03+641011.3       00:48:16.02  +64:10:11.2   12.066748   64.169788  122.586441    1.300166  F        3.9014116  0          0          0          GV     -                 -                 -                 -                 -              474003               524021125767343104   13.865
ZTF-DR2              J004904.75+650000.6       00:49:04.75  +65:00:00.6   12.269800   65.000170  122.682543    2.129563  1O       0          1.8471044  0          0          Gr     -                 -                 -                 -                 -              -                    524444854362398592   14.876
GCVS                 XY____Cas                 00:49:53.26  +60:07:38.6   12.471920   60.127379  122.738665   -2.743789  F        4.5017086  0          0          0          GV     -                 -                 -                 -                 -              205105               426881614218441600    9.585
ZTF-DR2              J005013.17+645002.5       00:50:13.16  +64:50:02.5   12.554850   64.834040  122.802302    1.962597  F        2.6750399  0          0          0          Gr     -                 -                 -                 -                 -              -                    524429628695735040   15.739
ASASSN-V             J005029.35+662922.8       00:50:29.42  +66:29:21.9   12.622600   66.489416  122.837235    3.617841  1O       0          2.7743254  0          0          GVr    -                 -                 -                 -                 -              AP4551249            526182495051213568   13.081
